name,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats
12,2017,4.4,10.714439990727769,1,1,0,20.14,1197.0,81.86,5.0
22,2016,4.0,10.59665973278358,1,1,0,18.15,1198.0,82.0,5.0
23,2016,7.78,11.156264806643742,0,1,2,24.52,1248.0,88.5,7.0
12,2016,6.8,11.51293546492023,0,1,0,22.54,1396.0,88.73,5.0
11,2017,9.5,10.819798284210286,0,1,0,25.5,1498.0,98.6,5.0
23,2015,5.25,10.59665973278358,0,1,0,26.59,1248.0,74.0,5.0
23,2016,5.75,10.714439990727769,1,1,0,21.4,1197.0,83.1,5.0
23,2017,2.75,10.239995502805316,1,1,0,24.7,796.0,47.3,5.0
23,2017,6.7,11.156264806643742,0,1,0,24.3,1248.0,88.5,5.0
23,2017,6.5,9.692828247710418,0,1,0,24.3,1248.0,88.5,5.0
7,2016,1.5,10.645448706505872,1,1,0,20.63,1198.0,67.0,5.0
11,2015,4.25,10.815790343132422,0,1,0,24.7,1498.0,98.63,5.0
11,2015,6.0,10.909637269778615,0,1,0,26.0,1498.0,98.6,5.0
11,2015,5.25,11.050905878263569,0,1,0,27.3,1498.0,98.6,5.0
34,2016,16.5,11.757446872843532,0,0,2,11.36,2755.0,171.5,7.0
34,2016,9.5,11.502885230075814,0,1,0,12.99,2494.0,100.6,7.0
23,2015,6.3,11.898194668458824,0,1,2,26.59,1248.0,74.0,5.0
10,2017,6.0,10.12667110305036,1,1,3,18.16,1196.0,86.8,5.0
35,2016,5.4,10.59665973278358,0,1,0,22.0,1498.0,108.495,5.0
11,2015,6.3,11.81303746480054,0,1,0,25.1,1498.0,98.6,5.0
35,2017,5.0,11.289794413577894,0,1,0,21.66,1498.0,108.62,5.0
23,2016,7.45,11.156264806643742,0,1,0,24.3,1248.0,88.5,5.0
23,2016,6.3,11.156264806643742,0,1,0,25.2,1248.0,74.0,5.0
34,2015,17.0,11.264476926102368,0,1,2,12.55,2982.0,168.5,7.0
34,2016,12.0,11.849404844423074,0,1,0,12.99,2494.0,100.6,8.0
10,2015,6.1,11.407576060361786,0,1,0,22.77,1498.0,98.59,5.0
3,2016,25.0,10.308985993422082,1,0,2,15.71,1998.0,189.0,5.0
23,2017,4.84999,9.210440366976515,1,1,0,23.1,998.0,67.04,5.0
7,2016,2.75,10.799595985047786,1,1,0,19.02,1198.0,67.05,5.0
23,2016,3.15,10.373522431293592,1,1,0,24.7,796.0,47.3,5.0
23,2016,2.75,10.545367754151744,1,1,0,24.7,796.0,47.3,5.0
23,2015,4.75,11.264476926102368,0,1,0,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
23,2017,2.8,10.373522431293592,1,1,0,14.0,796.0,35.0,5.0
35,2015,4.55,10.645448706505872,1,1,0,16.47,1198.0,74.0,5.0
12,2015,3.51,10.714439990727769,1,1,2,19.81,1086.0,68.05,5.0
23,2016,6.0,11.918397239722838,0,1,0,26.59,1248.0,74.0,5.0
12,2016,5.65,11.184435286790633,1,0,0,19.1,1197.0,82.0,5.0
12,2017,7.25,11.60824473564232,0,1,0,22.54,1396.0,88.73,5.0
23,2016,2.7,11.51293546492023,1,1,3,15.37,1196.0,73.0,7.0
12,2017,8.66,10.540090836284206,1,1,0,17.0,1591.0,121.3,5.0
33,2016,3.75,11.51293546492023,0,1,0,19.09,1405.0,69.01,5.0
23,2016,7.8,11.002116507732016,0,1,0,24.3,1248.0,88.5,5.0
23,2017,5.95,10.59665973278358,1,1,0,20.85,1197.0,83.14,5.0
23,2017,4.4,10.463131911491969,1,1,0,20.51,998.0,67.04,5.0
