name,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats
11,2006,1.58,11.849404844423074,1,1,3,17.7,1497.0,78.0,5.0
12,2010,2.25,11.751950239425476,0,1,0,23.0,1396.0,90.0,5.0
23,2007,1.3,11.695255355062796,1,1,0,16.1,1298.0,88.2,5.0
23,2001,0.45,8.517393171418904,1,1,2,16.1,796.0,37.0,4.0
34,2011,3.5,11.407576060361786,0,1,0,23.59,1364.0,67.1,5.0
23,2005,0.92,11.51293546492023,1,1,2,17.3,993.0,60.0,5.0
23,2009,2.8,11.849404844423074,0,1,2,19.3,1248.0,73.9,5.0
23,2007,2.0,11.289794413577894,1,1,2,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
23,2009,1.8,11.407576060361786,1,1,2,18.9,1061.0,67.0,5.0
23,2002,1.5,11.289794413577894,1,1,2,19.7,796.0,46.3,5.0
22,2011,1.74,11.51293546492023,0,1,2,21.0,1461.0,64.1,5.0
33,2018,5.0,10.463131911491969,1,1,0,20.3,1199.0,83.81,5.0
23,2009,2.2,11.695255355062796,1,1,0,18.9,1061.0,67.0,5.0
23,2018,2.54999,10.12667110305036,1,1,0,16.8,796.0,34.2,8.0
8,2003,0.7,10.819798284210286,1,1,2,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
12,2018,7.3,7.77863014732581,1,1,0,18.6,1197.0,81.83,5.0
23,2019,3.66,9.61587214452889,1,1,0,23.95,998.0,67.1,5.0
12,2019,11.49,8.517393171418904,1,1,0,17.0,1591.0,121.3,5.0
33,2011,4.25,11.002116507732016,0,1,2,13.93,2179.0,138.03,7.0
16,2019,21.0,8.517393171418904,1,0,0,16.0,1368.0,160.77,5.0
11,2018,9.25,10.27163147557801,1,1,0,17.8,1497.0,117.3,5.0
23,2018,6.75,10.056251557087757,1,0,0,18.5,1197.0,83.14,5.0
23,2018,8.19999,10.39209824173096,0,1,0,24.3,1248.0,88.5,5.0
23,2018,3.9,9.239996256883693,1,1,0,23.95,998.0,67.05,5.0
23,2018,8.5,11.06665398721974,1,1,0,20.65,1462.0,103.25,5.0
34,2018,15.9,10.12667110305036,1,0,0,14.28,1798.0,138.03,5.0
33,2011,2.65,11.695255355062796,0,1,0,21.12,1248.0,88.8,5.0
12,2011,1.9,11.60824473564232,1,1,3,20.36,1197.0,78.9,5.0
23,2019,6.5,10.308985993422082,1,1,0,21.4,1197.0,83.1,5.0
23,2018,4.48,10.308985993422082,1,0,0,20.51,998.0,67.0,5.0
23,2019,10.25,9.19532825185568,0,0,0,24.3,1248.0,88.5,5.0
12,2011,2.35,11.002116507732016,1,1,2,20.36,1197.0,78.9,5.0
33,2003,0.5,11.156264806643742,0,1,0,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
23,2009,1.75,10.92415631759022,1,1,0,18.2,998.0,67.1,5.0
23,2008,1.2,11.127277689932466,1,1,3,19.7,796.0,46.3,5.0
23,2009,1.85,11.251573687764475,1,1,2,21.79,998.0,67.05,5.0
33,2010,2.0,11.51293546492023,0,1,2,18.8,1248.0,90.0,5.0
23,2019,6.15,9.210440366976515,1,1,0,21.21,1197.0,81.8,5.0
23,2018,6.1,10.463131911491969,1,1,0,21.4,1197.0,83.1,5.0
10,2020,4.0,8.517393171418904,1,1,2,19.0,1194.0,94.68,5.0
35,2010,7.0,11.643962499267984,1,1,0,14.3,1798.0,160.0,5.0
33,2010,3.0,10.778977123006351,1,1,0,15.8,1172.0,65.0,5.0
22,2019,17.0,10.373522431293592,0,1,0,15.1,2179.0,155.0,7.0
34,2009,3.0,11.51293546492023,1,1,2,14.53,1798.0,138.1,5.0
23,2020,4.75,9.472781556562168,1,1,0,21.63,998.0,67.04,5.0
23,2010,3.0,11.695255355062796,0,1,2,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
31,2018,3.5,10.12667110305036,1,1,0,23.01,999.0,67.0,5.0
23,2008,1.05,11.082157933374816,1,1,1,19.7,796.0,46.3,5.0
12,2009,1.35,11.289794413577894,1,1,2,17.92,1086.0,62.1,5.0
11,2019,6.9,7.173191742486599,1,1,0,17.8,1198.0,86.7,5.0
2,2018,39.75,10.367253014814716,0,0,0,17.01,1968.0,188.0,5.0
20,2019,51.5,9.90353755128617,1,0,0,22.37,2487.0,214.56,5.0
19,2019,45.0,9.952325334619427,0,0,0,12.83,1999.0,148.31,7.0
3,2018,37.9,10.292179440058462,0,0,0,22.48,1995.0,187.74,5.0
3,2019,58.0,8.922791623969637,0,0,0,16.78,1995.0,190.0,5.0
32,2018,18.64999,10.819798284210286,1,0,0,14.67,1798.0,177.46,5.0
21,2019,17.5,9.852246888342531,1,0,0,13.96,1451.0,141.0,5.0
36,2018,34.0,9.99884318585288,0,0,0,18.0,1969.0,190.0,5.0
3,2010,9.75,11.187209175200516,1,0,2,10.8,2497.0,150.0,5.0
33,2018,8.11,9.305741456739437,1,1,0,17.0,1198.0,108.5,5.0
35,2011,3.75,10.799595985047786,1,1,0,15.04,1598.0,103.6,5.0
24,2018,25.5,9.798182590890704,1,0,0,15.04,1991.0,183.0,5.0
34,2019,8.94999,9.175231194862617,1,0,0,19.56,1197.0,81.8,5.0
23,2011,1.75,9.305741456739437,1,1,0,23.95,998.0,67.05,5.0
33,2018,10.25,8.987321812850125,0,0,0,21.5,1497.0,108.5,5.0
34,2009,4.5,11.170449240431308,1,0,0,12.1,2362.0,164.7,5.0
35,2011,3.0,11.51293546492023,0,1,2,20.54,1598.0,103.6,5.0
10,2018,5.75,9.15915233520675,1,1,0,18.16,1196.0,86.8,5.0
10,2011,1.6,11.695255355062796,0,1,0,20.0,1399.0,68.0,5.0
23,1999,0.4,10.59665973278358,1,1,2,16.1,796.0,37.0,4.0
23,2010,2.2,11.695255355062796,0,1,0,21.1,1248.0,73.9,5.0
35,2019,4.8,9.472781556562168,1,1,0,19.44,999.0,75.0,5.0
11,2005,1.0,11.695255355062796,1,1,2,13.0,1493.0,100.0,5.0
34,2010,3.0,11.002116507732016,0,1,0,21.43,1364.0,87.2,5.0
6,2000,1.0,11.002116507732016,1,1,0,18.5,796.0,53.0,5.0
11,2009,3.45,10.757924157061597,1,1,2,17.0,1497.0,118.0,5.0
23,2005,0.85,11.407576060361786,1,1,0,17.3,993.0,60.0,5.0
23,2010,2.15,11.700242855114809,1,1,2,18.9,998.0,67.1,5.0
12,2010,3.2,11.51293546492023,1,1,3,16.2,1599.0,103.2,5.0
12,2005,0.65,11.362114203075018,1,1,0,15.3,1341.0,83.0,5.0
12,2020,7.2,8.517393171418904,1,1,0,18.6,1197.0,81.86,5.0
33,2019,5.2,9.546884034617923,1,1,0,20.3,1199.0,84.0,5.0
23,2003,0.4,11.407576060361786,1,1,2,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
23,2018,4.2,10.463131911491969,1,0,0,20.51,998.0,67.0,5.0
23,2018,2.7,9.90353755128617,1,1,0,24.7,796.0,47.3,5.0
23,2018,7.0,8.962007209588313,1,0,0,22.0,1197.0,81.8,5.0
33,2019,12.5,9.61587214452889,0,1,0,17.6,2179.0,147.94,7.0
23,2018,7.0,10.819798284210286,0,1,0,28.4,1248.0,74.02,5.0
23,2018,8.3,8.517393171418904,1,0,0,21.4,1197.0,83.1,5.0
23,2011,1.6,10.12667110305036,1,1,2,19.7,796.0,46.3,5.0
31,2018,3.35,10.308985993422082,1,1,0,25.17,799.0,53.3,5.0
12,2020,5.24,10.373522431293592,1,1,0,20.14,1197.0,81.86,5.0
33,2018,5.2,11.002116507732016,1,1,0,17.57,1193.0,88.7,5.0
23,2008,1.3,11.695255355062796,1,1,2,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
10,2018,9.1,9.61587214452889,1,1,0,17.0,1497.0,121.36,5.0
23,2010,2.5,11.60824473564232,0,1,2,21.1,1248.0,73.9,5.0
12,2011,1.65,11.225256725762891,1,1,0,17.92,1086.0,62.1,5.0
12,2007,0.8,11.695255355062796,1,1,2,13.2,1495.0,94.0,5.0
11,2019,6.8,9.61587214452889,1,0,0,19.0,1199.0,88.76,5.0
12,2009,2.0,10.87806606028079,1,1,2,20.36,1197.0,78.9,5.0
12,2008,1.1,11.695255355062796,1,1,2,14.2,1341.0,82.9,5.0
33,2005,0.75,11.60824473564232,0,1,2,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
22,2019,13.0,10.59665973278358,0,1,0,17.3,1497.0,121.0,8.0
