name,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats
12,2012,5.0,10.87806606028079,0,1,2,23.0,1396.0,90.0,5.0
23,2012,6.0,11.184435286790633,0,1,0,21.5,1248.0,88.8,5.0
23,2012,1.5,10.463131911491969,1,1,2,14.0,796.0,35.0,5.0
23,2012,1.5,11.23850177707664,1,1,0,16.1,796.0,37.0,4.0
23,2012,4.5,11.695255355062796,1,1,2,16.02,1373.0,93.7,7.0
12,2012,2.9,10.239995502805316,1,1,0,19.81,1086.0,68.05,5.0
35,2012,5.35,9.39274525863144,1,1,2,15.04,1598.0,103.6,5.0
23,2012,3.7,12.07254696717504,0,1,1,19.3,1248.0,73.9,5.0
12,2012,5.5,11.461642696843066,1,1,0,16.3,1797.0,147.5,5.0
23,2012,3.4,10.098272780745283,1,1,0,21.21,1197.0,81.8,5.0
34,2012,2.35,11.695255355062796,0,1,0,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
34,2012,5.5,11.51293546492023,1,0,0,14.53,1794.0,138.1,5.0
11,2012,2.65,11.002116507732016,1,1,0,19.4,1198.0,86.8,5.0
12,2012,2.75,11.440365524765756,1,1,2,17.0,1197.0,80.0,5.0
22,2012,5.35,11.695255355062796,0,1,0,15.1,2179.0,140.0,7.0
12,2012,3.2,11.51293546492023,1,1,2,18.5,1197.0,80.0,5.0
23,2012,3.6,11.970356641103,0,1,0,23.4,1248.0,74.0,5.0
23,2012,3.1,11.695255355062796,0,1,0,19.3,1248.0,73.9,5.0
23,2012,3.4,11.60824473564232,0,1,0,19.3,1248.0,73.9,5.0
23,2012,3.2,12.170450649220747,0,1,0,19.3,1248.0,73.9,5.0
33,2012,2.9,11.002116507732016,0,1,0,21.02,1248.0,88.76,5.0
23,2012,3.3,10.819798284210286,1,1,2,18.6,1197.0,85.8,5.0
23,2012,3.3,10.819798284210286,1,1,2,18.6,1197.0,85.8,5.0
5,2012,1.2,11.002116507732016,1,1,3,18.6,1199.0,79.4,5.0
23,2012,4.2,11.695255355062796,1,0,0,17.4,1197.0,85.8,5.0
11,2012,3.25,10.59665973278358,1,1,0,18.5,1198.0,86.8,5.0
27,2012,4.5,9.105090961257083,1,1,0,16.95,1498.0,97.7,5.0
22,2012,6.8,11.440365524765756,0,1,0,15.1,2179.0,140.0,7.0
33,2012,0.64,9.798182590890704,1,1,0,25.4,624.0,37.5,4.0
34,2012,2.65,11.995357787034976,0,1,3,19.10818831334524,1491.3252850863223,97.99110021023124,5.0
23,2012,3.0,11.51293546492023,0,1,2,21.5,1248.0,88.8,5.0
33,2012,0.95,12.487488878546143,0,1,2,17.0,1405.0,70.0,5.0
33,2012,3.9,11.289794413577894,0,1,0,13.93,2179.0,138.03,7.0
12,2012,5.25,11.695255355062796,0,1,0,22.54,1396.0,88.73,5.0
