name,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats
23,2014,4.5,11.8879382384223,0,1,0,23.4,1248.0,74.0,5.0
32,2014,3.7,11.695255355062795,0,1,2,21.14,1498.0,103.52,5.0
11,2006,1.58,11.849404844423074,1,1,3,17.7,1497.0,78.0,5.0
12,2010,2.25,11.751950239425476,0,1,0,23.0,1396.0,90.0,5.0
23,2007,1.3,11.695255355062795,1,1,0,16.1,1298.0,88.2,5.0
12,2017,4.4,10.714439990727769,1,1,0,20.14,1197.0,81.86,5.0
23,2001,0.45,8.517393171418904,1,1,2,16.1,796.0,37.0,4.0
34,2011,3.5,11.407576060361786,0,1,0,23.59,1364.0,67.1,5.0
10,2013,2.0,12.037659911047468,0,1,0,20.0,1399.0,68.1,5.0
31,2014,5.0,11.127277689932466,0,1,2,19.01,1461.0,108.45,5.0
23,2005,0.92,11.51293546492023,1,1,2,17.3,993.0,60.0,5.0
23,2009,2.8,11.849404844423074,0,1,2,19.3,1248.0,73.9,5.0
23,2007,2.0,11.289794413577894,1,1,2,19.108188313345238,1491.3252850863223,97.99110021023124,5.0
23,2009,1.8,11.407576060361786,1,1,2,18.9,1061.0,67.0,5.0
22,2016,4.0,10.596659732783579,1,1,0,18.15,1198.0,82.0,5.0
23,2016,7.78,11.156264806643742,0,1,2,24.52,1248.0,88.5,7.0
12,2012,5.0,10.87806606028079,0,1,2,23.0,1396.0,90.0,5.0
23,2002,1.5,11.289794413577894,1,1,2,19.7,796.0,46.3,5.0
12,2016,6.8,11.51293546492023,0,1,0,22.54,1396.0,88.73,5.0
22,2011,1.74,11.51293546492023,0,1,2,21.0,1461.0,64.1,5.0
11,2017,9.5,10.819798284210286,0,1,0,25.5,1498.0,98.6,5.0
23,2015,5.25,10.596659732783579,0,1,0,26.59,1248.0,74.0,5.0
23,2012,6.0,11.184435286790631,0,1,0,21.5,1248.0,88.8,5.0
33,2018,5.0,10.463131911491967,1,1,0,20.3,1199.0,83.81,5.0
23,2016,5.75,10.714439990727769,1,1,0,21.4,1197.0,83.1,5.0
23,2017,2.75,10.239995502805316,1,1,0,24.7,796.0,47.3,5.0
5,2013,3.0,11.156264806643742,0,1,0,18.2,1248.0,73.8,7.0
23,2009,2.2,11.695255355062795,1,1,0,18.9,1061.0,67.0,5.0
23,2018,2.54999,10.12667110305036,1,1,0,16.8,796.0,34.2,8.0
23,2017,6.7,11.156264806643742,0,1,0,24.3,1248.0,88.5,5.0
8,2003,0.7,10.819798284210286,1,1,2,19.108188313345238,1491.3252850863223,97.99110021023124,5.0
23,2012,1.5,10.463131911491967,1,1,2,14.0,796.0,35.0,5.0
12,2018,7.3,7.77863014732581,1,1,0,18.6,1197.0,81.83,5.0
23,2017,6.5,9.692828247710418,0,1,0,24.3,1248.0,88.5,5.0
23,2019,3.66,9.61587214452889,1,1,0,23.95,998.0,67.1,5.0
12,2019,11.49,8.517393171418904,1,1,0,17.0,1591.0,121.3,5.0
7,2016,1.5,10.645448706505872,1,1,0,20.63,1198.0,67.0,5.0
33,2011,4.25,11.002116507732017,0,1,2,13.93,2179.0,138.03,7.0
23,2012,1.5,11.23850177707664,1,1,0,16.1,796.0,37.0,4.0
16,2019,21.0,8.517393171418904,1,0,0,16.0,1368.0,160.77,5.0
11,2018,9.25,10.27163147557801,1,1,0,17.8,1497.0,117.3,5.0
11,2013,4.25,11.3655964644899,1,1,0,16.8,1497.0,116.3,5.0
