name,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats
Maruti,2014,4.5,145500,Diesel,Manual,First ,23.4,1248.0,74,5.0
Skoda,2014,3.7,120000,Diesel,Manual,Second ,21.14,1498.0,103.52,5.0
Honda,2006,1.58,140000,Petrol,Manual,Third ,17.7,1497.0,78,5.0
Hyundai,2010,2.25,127000,Diesel,Manual,First ,23.0,1396.0,90,5.0
Maruti,2007,1.3,120000,Petrol,Manual,First ,16.1,1298.0,88.2,5.0
Hyundai,2017,4.4,45000,Petrol,Manual,First ,20.14,1197.0,81.86,5.0
Maruti,2001,0.45,5000,Petrol,Manual,Second ,16.1,796.0,37,4.0
Toyota,2011,3.5,90000,Diesel,Manual,First ,23.59,1364.0,67.1,5.0
Ford,2013,2.0,169000,Diesel,Manual,First ,20.0,1399.0,68.1,5.0
Renault,2014,5.0,68000,Diesel,Manual,Second ,19.01,1461.0,108.45,5.0
Maruti,2005,0.92,100000,Petrol,Manual,Second ,17.3,993.0,60,5.0
Maruti,2009,2.8,140000,Diesel,Manual,Second ,19.3,1248.0,73.9,5.0
Maruti,2007,2.0,80000,Petrol,Manual,Second ,,,,
Maruti,2009,1.8,90000,Petrol,Manual,Second ,18.9,1061.0,67,5.0
Mahindra,2016,4.0,40000,Petrol,Manual,First ,18.15,1198.0,82,5.0
Maruti,2016,7.78,70000,Diesel,Manual,Second ,24.52,1248.0,88.5,7.0
Hyundai,2012,5.0,53000,Diesel,Manual,Second ,23.0,1396.0,90,5.0
Maruti,2002,1.5,80000,Petrol,Manual,Second ,19.7,796.0,46.3,5.0
Hyundai,2016,6.8,100000,Diesel,Manual,First ,22.54,1396.0,88.73,5.0
Mahindra,2011,1.74,100000,Diesel,Manual,Second ,21.0,1461.0,64.1,5.0
Honda,2017,9.5,50000,Diesel,Manual,First ,25.5,1498.0,98.6,5.0
Maruti,2015,5.25,40000,Diesel,Manual,First ,26.59,1248.0,74,5.0
Maruti,2012,6.0,72000,Diesel,Manual,First ,21.5,1248.0,88.8,5.0
Tata,2018,5.0,35000,Petrol,Manual,First ,20.3,1199.0,83.81,5.0
Maruti,2016,5.75,45000,Petrol,Manual,First ,21.4,1197.0,83.1,5.0
Maruti,2017,2.75,28000,Petrol,Manual,First ,24.7,796.0,47.3,5.0
Chevrolet,2013,3.0,70000,Diesel,Manual,First ,18.2,1248.0,73.8,7.0
Maruti,2009,2.2,120000,Petrol,Manual,First ,18.9,1061.0,67,5.0
Maruti,2018,2.54999,25000,Petrol,Manual,First ,16.8,796.0,34.2,8.0
Maruti,2017,6.7,70000,Diesel,Manual,First ,24.3,1248.0,88.5,5.0
Fiat,2003,0.7,50000,Petrol,Manual,Second ,,,,
Maruti,2012,1.5,35000,Petrol,Manual,Second ,14.0,796.0,35,5.0
Hyundai,2018,7.3,2388,Petrol,Manual,First ,18.6,1197.0,81.83,5.0
Maruti,2017,6.5,16200,Diesel,Manual,First ,24.3,1248.0,88.5,5.0
Maruti,2019,3.66,15000,Petrol,Manual,First ,23.95,998.0,67.1,5.0
Hyundai,2019,11.49,5000,Petrol,Manual,First ,17.0,1591.0,121.3,5.0
Datsun,2016,1.5,42000,Petrol,Manual,First ,20.63,1198.0,67,5.0
Tata,2011,4.25,60000,Diesel,Manual,Second ,13.93,2179.0,138.03,7.0
Maruti,2012,1.5,76000,Petrol,Manual,First ,16.1,796.0,37,4.0
Jeep,2019,21.0,5000,Petrol,Automatic,First ,16.0,1368.0,160.77,5.0
Honda,2018,9.25,28900,Petrol,Manual,First ,17.8,1497.0,117.3,5.0
